scene_id,dialogue,relation_high_probable_gold,relation_impossible_gold,high_probable_agreement,intimacy_gold,intimacy_agreement,formality_gold,formality_agreement,hierarchy_gold,hierarchy_agreement,age-a_gold,age-b_gold,age_diff_gold,gender-a_gold,gender-b_gold,gender_diff_gold
scene311,"[A]: The thing is, [B], she'll make you think she's interested in you, when really all she's interested in is the case you're working on, because she wants to launch her big hot-shot career.
[B]: Wait a second: you're [A]. She talks about you all the time.
[A]: (immediately interested) Really?
[B]: Oh yeah, dude. She hates you.
[A]: Oh, she hates me?
[B]: Yeah. She says you're the most selfish, immature, stubborn...
[A]: (INTERRUPTING) I'm selfish? I'm immature? You know what? Forget it. I'm not even gonna dignify this with...whatever.
[B]: Hey, man, I'm on your team.
[A]: No you're not, [B]. I don't allow reporters on my team.
[A]: And for the record: I'm the one who hates her. Just so that's clear.","['Acquaintances', 'Strangers', 'Acquaintances']","['Friends', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Unintimate,partial_agreement,Pleasure-oriented,complete_agreement,A=B,complete_agreement,['(20–35) Young adult'],['(20–35) Young adult'],A=B,['Male'],['Male'],Same
scene312,"[B]: We'll talk to the kids tomorrow. Tell them we're separating. Just separating. We'll do it together.
[B]: I'll have to tell Nanna. Uch, she's gonna be crushed. But not right now. She's got enough to worry about...
[B]: (WITH ENERGY) So, I hear Stanford early admission, huh. I know your dad is so proud.
[A]: Yeah. (THEN) You're bleeding real bad, Mr. [B].
[B]: [C]! Are you kidding me!? [C]! GOD DAMN HER!
[B]: Sorry about that.
[A]: It's okay.
[A]: Mr. [B], I know you don't know me very well, but I've been baby- sitting for your family for three years. You're the nicest dad of any of the families I baby-sit for, by a country mile.
[A]: You're funny, and you're always really generous, and you're the only dad who's excited -- genuinely excited -- to check on his kids when he gets home from dinner. Now I like Mrs. [B], I like her a lot, but if she wants to divorce you, well... then I think she's batshit crazy.
[A]: In fact -- and, I hope this doesn't make you uncomfortable -- I think I've even developed a LITTLE CRUS--","['Babysitter-Parent', 'Employer-Employee', 'Neighbors']","['Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Neutral,partial_agreement,Pleasure-oriented,partial_agreement,A<B,disagreement,['(13–19) Teenager'],['(36–59) Middle-aged adult'],A<B,['Female'],['Male'],Different
scene313,"[B]: Take out your gun and drop it on the floor.
[A]: Who are you?
[B]: You knew my cousin. [C].
[A]: I never knew anyone named [C].
[B]: Get in the trunk. Not that trunk, this one. That gold is for us. A gift from some old friends of yours. They said to tell you that they didn't mind sharing the box of Cracker Jack, as long as you didn't get any. Not even the toy surprise.
[A]: Please. Don't shoot me. Please...
[B]: Don't worry. That wasn't the deal. I'm not going to shoot you.
[A]: Thank you. Thank God.
[B]: (to the others) He really thought I was going to shoot him.
[B]: No. No. I'm not going to shoot you. I'm going to hack off your limbs and bury you while you're still alive.","['Mob-Target', 'Revenge', 'Strangers', 'Arch-enemies', 'Strangers']","['Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Neighbors', 'Acquaintances', 'Friends', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry']",partial_agreement,Unintimate,complete_agreement,Task-oriented,partial_agreement,A<B,complete_agreement,"['(20–35) Young adult', '(36–59) Middle-aged adult']","['(20–35) Young adult', '(36–59) Middle-aged adult']",Cannot be determined,['Male'],['Male'],Same
scene314,"[B]: I didn't have any choice but to include the parents' letters in your file.
[A]: Well, I understand. I know my behavior was poor.
[B]: So, in light of how the parents feel, and the fact the students are doing so well with the substitute, I don't think I can put you back in the classroom just yet.
[A]: Look, [B], I've been a good teacher.
[B]: I know, [A]. But the incident with [C] was frightening for the children. (beat) Now if you'd come to me, explained what was going on...
[A]: Believe me, I wish I'd understood what was going on. I've worked really hard to get better.
[B]: I'm glad you're doing well.
[A]: I've already thought about how to tell the kids where I was.
[A]: And I'd like to send the parents this letter of explanation. With your support, I think they can accept me.
[B]: It's a very nice letter. But I have to go with what's best for the students.","['Supervisor-Subordinate', 'supervisor-teacher']","['Coworkers', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Friends', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,disagreement,Task-oriented,complete_agreement,A<B,partial_agreement,"['(36–59) Middle-aged adult', '(20–35) Young adult']",['(36–59) Middle-aged adult'],A<B,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene315,"[A]: I'll tell you what I'm doing: I'm gonna crack this case first, and I'm gonna take all the credit. Who knows, maybe I'll even get my job back....
[B]: You are so full of shit. You don't want your job back. You just want to prove you're smarter than she is.
[A]: (instantly heated) I am smarter than she is. I would have cracked that 13th Street case way before she did if she hadn't...
[B]: ...cheated, right, I know, you've told me a million times. Did it ever occur to you that a normal couple wouldn't compete the way you guys do in the first place?
[A]: This from the man currently trying to prove to his wife he can handle Xmas.
[B]: (instantly heated) I can handle Xmas!
[A]: Just..trust me, Ok?
[B]: Do I have a choice?
[A]: Nope.","['Coworkers/Friends', 'Coworkers', 'Friends', 'Friends', 'Coworkers']","['Supervisor-Subordinate relationship', 'Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Neutral,partial_agreement,A=B,complete_agreement,"['(36–59) Middle-aged adult', '(20–35) Young adult']","['(20–35) Young adult', '(36–59) Middle-aged adult']",Cannot be determined,['Male'],['Male'],Same
scene317,"[A]: Where are you going?
[B]: Away.
[A]: How about far, far away?
[B]: The farther the better.","['Friends', 'Siblings', 'Siblings', 'Parent-Children', 'Romantic Interest', 'Friends', 'Partners']","['Strangers', 'Grandparent-Grandchildren', 'Uncle/Aunt-Niece', 'Married', 'Engaged', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,partial_agreement,Pleasure-oriented,partial_agreement,A=B,complete_agreement,"['(20–35) Young adult', '(36–59) Middle-aged adult', '(60+) Seniorr', '(13–19) Teenager']","['(20–35) Young adult', '(36–59) Middle-aged adult', '(60+) Seniorr', '(13–19) Teenager']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene319,"[A]: It isn't real, it isn't real, it isn't real...
[A]: Oh hi, ah, coffee please.
[B]: We've got a special on soup today.
[A]: No, that's okay.
[B]: It's tomato.
[A]: Alright, okay.
[A]: Excuse me I need a spoooo...
[A]: That's alright, I found one.
[B]: I lie to my sister.
[A]: What?","['Employee-Customer', 'Strangers']","['Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Friends', 'Acquaintances', 'Neighbors', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,partial_agreement,Task-oriented,disagreement,A>B,partial_agreement,"['(20–35) Young adult', '(36–59) Middle-aged adult', '(60+) Seniorr', '(13–19) Teenager']","['(20–35) Young adult', '(36–59) Middle-aged adult', '(60+) Seniorr', '(13–19) Teenager']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene320,"[A]: (with total disinterest) That a fact?
[B]: You want facts? Fact: CIA officials were allowed free -- and illegal -- access to official election material.
[B]: Now given the sordid history in Miami of joint ventures between Central Intelligence and the Mob, which led to the unsuccessful attempts to kill Fidel Castro and the successful assassination of your President John F. Kennedy, this conjunction raises numerous red flags.
[A]: And I'd love to hear more about it, but like I said...
[B]: Don't worry, we'll have you out in no time. The cash is on its way.
[A]: On its way?
[B]: My cousin is bringing it over.
[A]: Your cousin?
[B]: Yes. Cousin [C].
[A]: He's on his way?","['Coworkers', 'Captor-Captive', 'Strangers']","['Supervisor-Subordinate relationship', 'Neighbors', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,partial_agreement,Task-oriented,partial_agreement,A<B,partial_agreement,['(20–35) Young adult'],['(20–35) Young adult'],Cannot be determined,['Male'],['Male'],Same
scene321,"[A]: So... How was dinner?
[B]: It was just for work.
[A]: It's a pretty dress.
[B]: Oh, thanks.
[B]: So how much do I owe yo--
[A]: Did you know your kids are the only ones I baby-sit for who always want to stay awake so they can see their dad when he gets home. I mean, they fight with everything they have to keep their eyes open so they can hear what Dad had for dinner, or how he liked the movie. Lot of kids want to stay awake for Mom -- and your kids always want to see you, don't get me wrong -- but not a lot wait up for Dad. Maybe it's because he's good, and he's kind, and he's decent.
[B]: What are you talking abo--
[A]: Batshit crazy.
[B]: [A]?
[A]: I DON'T WANT YOUR SLUTTY MONEY!","['Babysitter-Parent', 'Employer-Employee', 'Acquaintances']","['Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Strangers', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,disagreement,Task-oriented,disagreement,A<B,partial_agreement,"['(13–19) Teenager', '(20–35) Young adult']",['(36–59) Middle-aged adult'],A<B,['Female'],['Female'],Same
scene322,"[B]: It had this red spot on its back.
[A]: Green spot.
[B]: Mottled really. Green and red.
[A]: I don't know why you feel you have to lie, [B].
[B]: Lie?
[A]: If you feel lonely, or need to talk, all you have to do is say so.
[B]: To talk?
[B]: (beat) Well, OK, that might be good.
[A]: I understand you just got engaged. Maybe that's where we should start.","['Ex-Friends', 'Doctor-patient', 'Therapist-Patient', 'Parent-Children', 'Friends', 'Acquaintances', 'Mentor-Mentee']","['Married', 'Engaged', 'Dating', 'Romantic Interest', 'Strangers', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Teacher-Student', 'Lawyer-Client', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Neutral,partial_agreement,Cannot be determined,disagreement,A>B,partial_agreement,"['(20–35) Young adult', '(36–59) Middle-aged adult']",['(20–35) Young adult'],A>B,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene323,"[B]: Well, we can't seat many people in there, but at least we're back in business.
[A]: Sorry those jerks are in your diner.
[B]: Ah, we're used to them costing us money. Last year we spent more on window glass than pancake batter. All because of them.
[A]: It makes me sick. Thinking they're too good for pancakes.
[B]: No, I meant... They damage the diner a lot. They damage the whole town. I'm just sorry you guys got dragged into it. You were just out to have a good vacation.
[A]: This has been the best vacation of my life. I met you.
[B]: You bikers probably tell all the girls that.
[A]: [B], I have to tell you something. I'm not really a cool biker or a cool... anything. I'm a computer programmer. A nerd. My cat doesn't even like me. She watches me sleep and I don't know why. I think she's waiting for me to stop breathing. I'm just a... Geek. I'm sorry if you thought I was somebody I'm not.
[B]: You're not a geek, Dudley. You're sweet and your honest and... You're the coolest guy I know. Your cat is crazy if it doesn't like you as much as I do.
[B] (CONT'D): Well, I better get back inside. I've got to set some chairs up in the family room for the lunch rush. People gotta eat.","['Romantic Interest/Employee-Customer', 'Romantic Interest', 'Friends', 'Strangers']","['Teacher-Student', 'Mentor-Mentee', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Acquaintances', 'Neighbors', 'Strangers', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Pleasure-oriented,complete_agreement,A=B,complete_agreement,['(20–35) Young adult'],['(20–35) Young adult'],A=B,['Male'],['Female'],Different
scene324,"[B]: Well, if it ain't the Belle of Amherst.
[B]: Seen that face before.
[A]: You have?
[B]: And for the same god damn reason.
[A]: But you said [C] and my Mom were just friends.
[B]: Sure, but she was nuts about him. The only reason she didn't sleep with him is 'cause she was sentimental. And smart. She wanted a ring first.
[A]: Why didn't he give her one?
[B]: Cause he knocked up little [D] instead. In Newport. At Bailey's Beach. During the Labor Day clam bake.
[B]: [D] was your mom's best friend from Nightingale. You had to hand it to him. He sure knew how to make a point.
[A]: Why did he do that?","['Family Friend-Child', 'Acquaintances', 'Parent-Children', 'Aunt/Uncle-Niece/Nephew']","['Brothers/Sisters', 'Cousins', 'Grandparent-Grandchildren', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Cannot be determined,disagreement,Pleasure-oriented,partial_agreement,A<B,complete_agreement,"['(13–19) Teenager', '(20–35) Young adult']","['(36–59) Middle-aged adult', '(60+) Seniorr']",A<B,[],['Male'],Cannot be determined
